beta,gamma
0.215934,0.017090
0.154740,0.024409
0.264329,0.021483
0.334720,0.032201
0.318541,0.107101
0.374987,0.024420
0.193649,0.066519
0.273784,0.027642
0.212981,0.027369
0.235526,0.016547
0.137586,0.041561
0.218223,0.038155
0.270938,0.039962
0.216669,0.046217
0.115290,0.032501
0.220835,0.048336
0.227667,0.048797
0.304848,0.016887
0.134941,0.016142
0.242357,0.030575
0.441879,0.016946
0.377930,0.054642
0.129583,0.018022
0.183123,0.021546
0.229265,0.061708
0.457917,0.038701
0.300909,0.036199
0.246827,0.020938
0.127238,0.027823
0.351265,0.025676
0.280512,0.043102
0.317290,0.029054
0.335505,0.027382
0.253855,0.017174
0.325971,0.114989
0.252925,0.018075
0.285903,0.089187
0.262672,0.022306
0.252652,0.051032
0.522408,0.021358
0.210249,0.060337
0.470217,0.023335
0.430621,0.037511
0.309188,0.117506
0.207979,0.024777
0.252091,0.033708
0.324380,0.060293
0.172134,0.061828
0.177425,0.014656
0.389880,0.022858
0.435935,0.030392
0.349560,0.033442
0.383595,0.064354
0.141912,0.033407
0.528895,0.035024
0.114844,0.027273
0.160676,0.015945
0.321732,0.062010
0.477934,0.033951
0.433009,0.020387
0.203275,0.022529
0.326325,0.048770
0.494850,0.041514
0.383161,0.013540
0.389439,0.034510
0.530551,0.023721
0.419038,0.016805
0.300782,0.041444
0.233863,0.023564
0.435613,0.024429
0.130793,0.033197
0.241039,0.028365
0.185794,0.017049
